company,url,segment,legal_model,business_model,founded,hq,founders_leadership,target_market,geography_availability,partners,celebrity_involvement,funding_or_disclosed_performance,customer_promise,positioning,key_products,displayed_price_examples,traffic_proxy,social_audience,review_signal,advertising_visibility,regulatory_or_risk_notes,within_segment_rank,rank_methodology,evidence_confidence,primary_source_url,access_date,research_file
Innovation Compounding (Revelation Pharma),https://www.innovationcompounding.com/,Compounding pharmacy,503A/503B pharmacy; dispenses only on prescription,"503A compounding pharmacy (men's/women's health, pain, weight loss, allergy, nutrition) within the Revelation Pharma multi-pharmacy platform.",2007 (Verified via CB Insights),"Kennesaw, GA (Verified via CB Insights)","Acquired by Revelation Pharma, Jan 2022 (Verified via CB Insights).",Prescribers/clinics; telehealth.,Not retrieved.,Not verified this session,None found,None disclosed / not found,,PE-rolled-up regional compounder; peptide menu not verified.,Weight-loss / hormone / peptide compounds (menu not retrieved),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"No FDA warning letter found in searches this session. Context (verified 2026-09-02): FDA placed BPC-157 on the 503A Category 2 list 2023-09-29; on 2026-04-15 FDA removed BPC-157 and 11 other peptides from Category 2 (removal is not approval); PCAC met 2026-07-23/24 and voted to recommend BPC-157, KPV, TB-500, MOTS-c, Epitalon and Semax (not Emideltide) for the 503A bulks list -- advisory only, rulemaking pending; FDA declared the semaglutide shortage resolved Feb 2025 and on 2026-04-30 proposed excluding semaglutide, tirzepatide and liraglutide from the 503B bulks list (comments through 2026-0",6,"Ranked on enforcement record 2018-2026, verified 503A/503B footprint and testing infrastructure, peptide/GLP-1 menu breadth, resilience to 2026 rule changes. See research/02_pharmacy_ruo_consumer.md.",Medium-High,https://www.cbinsights.com/company/innovation-compounding,2026-09-02,research/02_pharmacy_ruo_consumer.json
"Valor Compounding Pharmacy, Inc. (control case: no peptides)",https://www.valorcompounding.com/,Compounding pharmacy,503A/503B pharmacy; dispenses only on prescription,"Multi-state 503A compounding pharmacy (18 states; 5 labs) that explicitly does NOT compound peptides, IV nutrients, growth hormones, semaglutide, tirzepatide or GLP-1s.",Not verified this session,"Berkeley, CA (Verified)",Not verified this session,"Health systems and providers outsourcing low-volume prescriptions (atropine, BHRT, LDN, derm, pain, pediatric, veterinary).",18 states (company-reported).,Not verified this session,None found,None disclosed / not found,,Compliance-positioned 503A that publicly declines the peptide/GLP-1 market -- useful benchmark for the 'conservative' stance.,"Non-peptide compounds (BHRT, LDN, atropine, derm)",Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"503A. FDA Form 483 on file (fda.gov/media/170721). States peptides unavailable because federal rules limit 503A substances. Context (verified 2026-09-02): FDA placed BPC-157 on the 503A Category 2 list 2023-09-29; on 2026-04-15 FDA removed BPC-157 and 11 other peptides from Category 2 (removal is not approval); PCAC met 2026-07-23/24 and voted to recommend BPC-157, KPV, TB-500, MOTS-c, Epitalon and Semax (not Emideltide) for the 503A bulks list -- advisory only, rulemaking pending; FDA declared the semaglutide shortage resolved Feb 2025 and on 2026-04-30 proposed excluding semaglutide, tirzepa",5,"Ranked on enforcement record 2018-2026, verified 503A/503B footprint and testing infrastructure, peptide/GLP-1 menu breadth, resilience to 2026 rule changes. See research/02_pharmacy_ruo_consumer.md.",Medium-High,https://www.valorcompounding.com/,2026-09-02,research/02_pharmacy_ruo_consumer.json
Peptide Sciences (DEFUNCT -- voluntary shutdown),https://www.peptidesciences.com/,RUO vendor,Sells 'research use only' chemicals; FDA treats human-use marketing as unapproved drug distribution,Formerly one of the largest US RUO peptide e-commerce vendors; site now displays a voluntary shutdown notice; GLP-1s were removed before full closure.,Not verified this session,Not verified this session,Not verified this session,'Researchers' (de facto consumers/biohackers).,US online (historical).,Not verified this session,None found,None disclosed / not found,,Former category leader whose exit is widely cited as the marker of the 2025 enforcement wave.,"Historical catalog (BPC-157, TB-500, GLP-1s removed pre-shutdown)",Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"No FDA warning letter to Peptide Sciences found; company posted 'voluntarily shut down operations and discontinue the sale of our research products'. FDA position (verified): a 'research use only' label does not control intended use; website/social marketing implying human use makes the product an unapproved new drug (e.g., Swiss Chems WL 2024-12-10; Gram Peptides WL 2026-03-31; Wholesale Peptide WL 2026-06-17; Pinnacle Peptides and Prime Sports Nutrition WLs 2025-12-12; Darmerica API WL Dec 2025). FTC Health Products Compliance Guidance requires competent and reliable scientific evidence for ",11,"Ranked on absence/presence of FDA action, published quality/testing claims, payment posture and marketing restraint; prices not retrievable. Segment is legally distinct: FDA treats human-use marketing as unapproved-drug distribution regardless of RUO labels.",Medium-High,https://peptidesexplorer.com/blog/peptide-sciences-shut-down,2026-09-02,research/02_pharmacy_ruo_consumer.json
Core Peptides,https://corepeptides.com/,RUO vendor,Sells 'research use only' chemicals; FDA treats human-use marketing as unapproved drug distribution,US online RUO peptide vendor (Shopify-style storefront; 'Core Blend' product PDF hosted on Shopify CDN).,Not verified this session,Not verified this session,Not verified this session,'Researchers'/biohackers.,US online.,Not verified this session,None found,None disclosed / not found,,Mainstream RUO vendor; no FDA warning letter found in searches this session.,"BPC-157, TB-500, blends ('Core Blend')",Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"No FDA warning letter to Core Peptides found in searches (absence not proof). FDA position (verified): a 'research use only' label does not control intended use; website/social marketing implying human use makes the product an unapproved new drug (e.g., Swiss Chems WL 2024-12-10; Gram Peptides WL 2026-03-31; Wholesale Peptide WL 2026-06-17; Pinnacle Peptides and Prime Sports Nutrition WLs 2025-12-12; Darmerica API WL Dec 2025). FTC Health Products Compliance Guidance requires competent and reliable scientific evidence for health claims; affiliate/TikTok promotion is within FDA/FTC scope. Price",4,"Ranked on absence/presence of FDA action, published quality/testing claims, payment posture and marketing restraint; prices not retrievable. Segment is legally distinct: FDA treats human-use marketing as unapproved-drug distribution regardless of RUO labels.",Medium-High,https://cdn.shopify.com/s/files/1/0769/7848/7555/files/Core_Blend.pdf,2026-09-02,research/02_pharmacy_ruo_consumer.json
Swiss Chems,https://swisschems.is/,RUO vendor,Sells 'research use only' chemicals; FDA treats human-use marketing as unapproved drug distribution,"US-based research-chemical e-commerce: peptides, SARMs, nootropics, formerly GLP-1s; affiliate discount codes (e.g., INSIDE10).",2018 (Third-party),"New York, NY (Third-party)",Not verified this session,Bodybuilding/biohacker audience.,US online; .is domain.,Not verified this session,None found,None disclosed / not found,,High-visibility vendor with an on-record FDA warning letter; removed GLP-1s afterwards.,"Peptides (BPC-157, TB-500, CJC-1295, ipamorelin, etc.); SARMs (e.g., ostarine) and nootropics",Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Trustpilot referenced by PepPal; PeptideMind 3.7/5 (third-party).,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"FDA Warning Letter 2024-12-10 (MARCS-CMS 695663): semaglutide and retatrutide pages plus a 2024-09-18 Facebook/Instagram post promoting semaglutide for weight regulation; FDA rejected the research-only disclaimer. Products reportedly removed after the letter. Also sells SARMs (FDA: SARMs linked to liver injury, heart attack/stroke risk). FDA position (verified): a 'research use only' label does not control intended use; website/social marketing implying human use makes the product an unapproved new drug (e.g., Swiss Chems WL 2024-12-10; Gram Peptides WL 2026-03-31; Wholesale Peptide WL 2026-06",10,"Ranked on absence/presence of FDA action, published quality/testing claims, payment posture and marketing restraint; prices not retrievable. Segment is legally distinct: FDA treats human-use marketing as unapproved-drug distribution regardless of RUO labels.",Medium-High,https://www.peppal.app/suppliers/swisschems,2026-09-02,research/02_pharmacy_ruo_consumer.json
Limitless Life Nootropics (Limitless Biotech),https://limitlesslifenootropics.com/,RUO vendor,Sells 'research use only' chemicals; FDA treats human-use marketing as unapproved drug distribution,"US online RUO peptide/nootropic vendor; payments via Zelle, Revolut, CashApp (minimal buyer protection); influencer-linked (Jay Campbell ecosystem widely reported; not re-verified).",Not verified this session,Not verified this session,Not verified this session,Biohacker/optimization community.,US online.,Not verified this session,None found,None disclosed / not found,,Community-driven vendor with polarized reputation.,"BPC-157, TB-500, GLP-1 analogs, nootropics",Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Trustpilot 3.4/5; BBB 4 complaints over 3 years; r/Nootropics lists as 'unreliable vendor'; PeptideMind 3.6/5 (all third-party).,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"No FDA enforcement action found in searches. Alternative-payment rails and BBB complaints noted. FDA position (verified): a 'research use only' label does not control intended use; website/social marketing implying human use makes the product an unapproved new drug (e.g., Swiss Chems WL 2024-12-10; Gram Peptides WL 2026-03-31; Wholesale Peptide WL 2026-06-17; Pinnacle Peptides and Prime Sports Nutrition WLs 2025-12-12; Darmerica API WL Dec 2025). FTC Health Products Compliance Guidance requires competent and reliable scientific evidence for health claims; affiliate/TikTok promotion is within F",8,"Ranked on absence/presence of FDA action, published quality/testing claims, payment posture and marketing restraint; prices not retrievable. Segment is legally distinct: FDA treats human-use marketing as unapproved-drug distribution regardless of RUO labels.",Medium-High,https://www.finnrick.com/vendors/limitless-life-nootropics,2026-09-02,research/02_pharmacy_ruo_consumer.json
Amino Asylum (DEFUNCT -- federal raid),https://aminoasylum.shop/,RUO vendor,Sells 'research use only' chemicals; FDA treats human-use marketing as unapproved drug distribution,"Former RUO vendor of peptides (BPC-157, TB-500, 'Wolverine' stacks), SARMs, nootropics and prescription-drug analogs.",Not verified this session,Not verified this session,Matthew Kawa and Jennifer Stechkober (pleaded guilty Dec 2025 per third-party reporting),Bodybuilding/biohacker audience.,Defunct.,Not verified this session,None found,None disclosed / not found,,"Cautionary case: ignored FDA warning letters, raided ~2025-06-18, founders pleaded guilty (SARM-labeled products contained testosterone).","Historical catalog incl. 'Wolverine' BPC-157/TB-500 stack, SARMs",Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"Multiple FDA warning letters ignored (third-party); federal raid June 2025; guilty pleas Dec 2025. FDA position (verified): a 'research use only' label does not control intended use; website/social marketing implying human use makes the product an unapproved new drug (e.g., Swiss Chems WL 2024-12-10; Gram Peptides WL 2026-03-31; Wholesale Peptide WL 2026-06-17; Pinnacle Peptides and Prime Sports Nutrition WLs 2025-12-12; Darmerica API WL Dec 2025). FTC Health Products Compliance Guidance requires competent and reliable scientific evidence for health claims; affiliate/TikTok promotion is within",12,"Ranked on absence/presence of FDA action, published quality/testing claims, payment posture and marketing restraint; prices not retrievable. Segment is legally distinct: FDA treats human-use marketing as unapproved-drug distribution regardless of RUO labels.",Medium-High,https://www.bestpeptidescompanies.com/the-fall-of-amino-asylum-and-alternatives/,2026-09-02,research/02_pharmacy_ruo_consumer.json
Sports Technology Labs,https://sportstechnologylabs.com/,RUO vendor,Sells 'research use only' chemicals; FDA treats human-use marketing as unapproved drug distribution,US online vendor of SARMs and peptides 'for laboratory use exclusively'; content blog on SARMs/peptides.,Not verified this session,Not verified this session,Not verified this session,Fitness/bodybuilding researchers.,US online.,Not verified this session,None found,None disclosed / not found,,SARM-led vendor expanding into peptides; no FDA letter found.,"Peptides (BPC-157, TB-500, GLP-1s per third-party); SARMs",Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"No FDA warning letter found in searches this session. SARMs subject to FDA consumer warnings. FDA position (verified): a 'research use only' label does not control intended use; website/social marketing implying human use makes the product an unapproved new drug (e.g., Swiss Chems WL 2024-12-10; Gram Peptides WL 2026-03-31; Wholesale Peptide WL 2026-06-17; Pinnacle Peptides and Prime Sports Nutrition WLs 2025-12-12; Darmerica API WL Dec 2025). FTC Health Products Compliance Guidance requires competent and reliable scientific evidence for health claims; affiliate/TikTok promotion is within FDA/",6,"Ranked on absence/presence of FDA action, published quality/testing claims, payment posture and marketing restraint; prices not retrievable. Segment is legally distinct: FDA treats human-use marketing as unapproved-drug distribution regardless of RUO labels.",Medium-High,https://sportstechnologylabs.com/faqs/,2026-09-02,research/02_pharmacy_ruo_consumer.json
Biotech Peptides,https://biotechpeptides.com/,RUO vendor,Sells 'research use only' chemicals; FDA treats human-use marketing as unapproved drug distribution,US online RUO peptide vendor; its BPC-157 listings were cited in FDA's 2026 PCAC briefing document as an example of online availability.,Not verified this session,Not verified this session,Not verified this session,'Researchers'.,US online.,Not verified this session,None found,None disclosed / not found,,Mid-tier RUO vendor now on FDA's radar via PCAC briefing citation.,"BPC-157 (cited by FDA), TB-500, CJC-1295, ipamorelin",Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"No warning letter found, but biotechpeptides.com BPC-157 pages cited in FDA PCAC briefing (fda.gov/media/193343). FDA position (verified): a 'research use only' label does not control intended use; website/social marketing implying human use makes the product an unapproved new drug (e.g., Swiss Chems WL 2024-12-10; Gram Peptides WL 2026-03-31; Wholesale Peptide WL 2026-06-17; Pinnacle Peptides and Prime Sports Nutrition WLs 2025-12-12; Darmerica API WL Dec 2025). FTC Health Products Compliance Guidance requires competent and reliable scientific evidence for health claims; affiliate/TikTok prom",5,"Ranked on absence/presence of FDA action, published quality/testing claims, payment posture and marketing restraint; prices not retrievable. Segment is legally distinct: FDA treats human-use marketing as unapproved-drug distribution regardless of RUO labels.",Medium-High,https://www.fda.gov/media/193343/download,2026-09-02,research/02_pharmacy_ruo_consumer.json
Paradigm Peptides (DEFUNCT -- owner sentenced),https://paradigmpeptides.com/,RUO vendor,Sells 'research use only' chemicals; FDA treats human-use marketing as unapproved drug distribution,Former RUO peptide/SARM vendor; site offline after federal case.,Not verified this session,Not verified this session,Not verified this session,,,Not verified this session,None found,None disclosed / not found,,Cautionary case: products adulterated with steroids; owner sentenced ~6 years (Aug 2026).,Historical catalog,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"FDA WL 2020-12-07 to Paradigm RE LLC (COVID-19 claims). Owner sentenced to nearly six years for selling misrepresented/adulterated products (CBS, Aug 2026). FDA position (verified): a 'research use only' label does not control intended use; website/social marketing implying human use makes the product an unapproved new drug (e.g., Swiss Chems WL 2024-12-10; Gram Peptides WL 2026-03-31; Wholesale Peptide WL 2026-06-17; Pinnacle Peptides and Prime Sports Nutrition WLs 2025-12-12; Darmerica API WL Dec 2025). FTC Health Products Compliance Guidance requires competent and reliable scientific eviden",13,"Ranked on absence/presence of FDA action, published quality/testing claims, payment posture and marketing restraint; prices not retrievable. Segment is legally distinct: FDA treats human-use marketing as unapproved-drug distribution regardless of RUO labels.",Medium-High,https://www.cbsnews.com/news/peptides-seller-prison-sentence-unapproved-drugs/,2026-09-02,research/02_pharmacy_ruo_consumer.json
PureRawz (Pure Rawz),https://purerawz.co/,RUO vendor,Sells 'research use only' chemicals; FDA treats human-use marketing as unapproved drug distribution,"Online RUO vendor of peptides, SARMs, nootropics and tianeptine; COA claims promoted via sponsored reviews.",Not verified this session,Not verified this session,Owner Seann Gloss named in FDA warning letter (third-party),Bodybuilding/biohacker audience.,US online.,Not verified this session,None found,None disclosed / not found,,Broad-catalog vendor with an FDA warning letter tied to tianeptine (Sept 2025).,"BPC-157, TB-500, GHK-Cu, PT-141 (per third-party reviews); Tianeptine (cited by FDA)",Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"FDA Warning Letter 715218 dated 2025-09-08 re tianeptine sold as unapproved drug; FDA treated RUO labeling as a sham. Peptide/SARM lines not named in that letter (third-party). FDA position (verified): a 'research use only' label does not control intended use; website/social marketing implying human use makes the product an unapproved new drug (e.g., Swiss Chems WL 2024-12-10; Gram Peptides WL 2026-03-31; Wholesale Peptide WL 2026-06-17; Pinnacle Peptides and Prime Sports Nutrition WLs 2025-12-12; Darmerica API WL Dec 2025). FTC Health Products Compliance Guidance requires competent and reliab",9,"Ranked on absence/presence of FDA action, published quality/testing claims, payment posture and marketing restraint; prices not retrievable. Segment is legally distinct: FDA treats human-use marketing as unapproved-drug distribution regardless of RUO labels.",Medium-High,https://learnmuscles.com/blog/2026/05/26/purerawz-review-is-it-legit-heres-what-real-customers-say/,2026-09-02,research/02_pharmacy_ruo_consumer.json
"Particle Peptides (PARTICLE, s. r. o.)",https://particlepeptides.com/en/,RUO vendor,Sells 'research use only' chemicals; FDA treats human-use marketing as unapproved drug distribution,"EU-domiciled RUO peptide e-commerce shipping to US; claims manufacturer inspected by FDA, NMPA, EMA, TGA, MFDS and cGMP/ISO 9001/ISO 13485 compliance.",Not verified this session,Slovakia (legal entity PARTICLE s.r.o.; markets as US-based supplier) -- Company-reported,Not verified this session,Global 'researchers'.,Ships to US (third-party).,Not verified this session,None found,None disclosed / not found,,Quality-signaling international vendor; published rebuttal to 'false claims circulating online'.,"BPC-157, TB-500, retatrutide (per third-party)",Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"No FDA warning letter found. Foreign-shipped unapproved drugs face import detention risk. FDA position (verified): a 'research use only' label does not control intended use; website/social marketing implying human use makes the product an unapproved new drug (e.g., Swiss Chems WL 2024-12-10; Gram Peptides WL 2026-03-31; Wholesale Peptide WL 2026-06-17; Pinnacle Peptides and Prime Sports Nutrition WLs 2025-12-12; Darmerica API WL Dec 2025). FTC Health Products Compliance Guidance requires competent and reliable scientific evidence for health claims; affiliate/TikTok promotion is within FDA/FTC ",1,"Ranked on absence/presence of FDA action, published quality/testing claims, payment posture and marketing restraint; prices not retrievable. Segment is legally distinct: FDA treats human-use marketing as unapproved-drug distribution regardless of RUO labels.",Medium-High,https://particlepeptides.com/en/content/4-company-information,2026-09-02,research/02_pharmacy_ruo_consumer.json
BioLongevity Labs,https://biolongevitylabs.com/,RUO vendor,Sells 'research use only' chemicals; FDA treats human-use marketing as unapproved drug distribution,US RUO peptide/bioregulator vendor claiming GMP-certified US manufacturing and 'triple third-party testing'; publishes market reports via PR wire; profiled by Beauty Independent.,Not verified this session,Not verified this session,Not verified this session,Longevity/wellness-adjacent 'researchers'; beauty/wellness press.,US online.,Not verified this session,None found,None disclosed / not found,,Premium 'demystify peptides for the masses' brand voice -- consumer-facing tone that sits uneasily with RUO status.,"BPC-157, TB-500, NAD+, GHK-Cu, bioregulators (per third-party)",Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Finnrick safety rating page; peptidecritic community thread (third-party).,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"No FDA warning letter found. Consumer-press positioning ('for the masses') is the type of intended-use evidence FDA cites. FDA position (verified): a 'research use only' label does not control intended use; website/social marketing implying human use makes the product an unapproved new drug (e.g., Swiss Chems WL 2024-12-10; Gram Peptides WL 2026-03-31; Wholesale Peptide WL 2026-06-17; Pinnacle Peptides and Prime Sports Nutrition WLs 2025-12-12; Darmerica API WL Dec 2025). FTC Health Products Compliance Guidance requires competent and reliable scientific evidence for health claims; affiliate/Ti",2,"Ranked on absence/presence of FDA action, published quality/testing claims, payment posture and marketing restraint; prices not retrievable. Segment is legally distinct: FDA treats human-use marketing as unapproved-drug distribution regardless of RUO labels.",Medium-High,https://www.beautyindependent.com/biolongevity-labs-wants-demystify-peptides/,2026-09-02,research/02_pharmacy_ruo_consumer.json
Aminos.Science (Aminos Science),https://aminos.science/,RUO vendor,Sells 'research use only' chemicals; FDA treats human-use marketing as unapproved drug distribution,Online RUO peptide vendor claiming '99% HPLC' purity and lab/institution customers.,Not verified this session,Not verified this session,Not verified this session,'Laboratories and research institutions' (site copy).,US online.,Not verified this session,None found,None disclosed / not found,,Purity-claim-led newer vendor; thin public footprint.,"BPC-157, tirzepatide, retatrutide (per search context)",Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"No FDA warning letter found. FDA position (verified): a 'research use only' label does not control intended use; website/social marketing implying human use makes the product an unapproved new drug (e.g., Swiss Chems WL 2024-12-10; Gram Peptides WL 2026-03-31; Wholesale Peptide WL 2026-06-17; Pinnacle Peptides and Prime Sports Nutrition WLs 2025-12-12; Darmerica API WL Dec 2025). FTC Health Products Compliance Guidance requires competent and reliable scientific evidence for health claims; affiliate/TikTok promotion is within FDA/FTC scope. Prices for BPC-157/TB-500/semaglutide/tirzepatide/reta",7,"Ranked on absence/presence of FDA action, published quality/testing claims, payment posture and marketing restraint; prices not retrievable. Segment is legally distinct: FDA treats human-use marketing as unapproved-drug distribution regardless of RUO labels.",Medium-High,https://aminos.science/,2026-09-02,research/02_pharmacy_ruo_consumer.json
Polaris Peptides,https://polarispeptides.com/,RUO vendor,Sells 'research use only' chemicals; FDA treats human-use marketing as unapproved drug distribution,US-based RUO peptide vendor; subject of a third-party '97 samples tested' review and a 'red flags' audit.,Not verified this session,Not verified this session,Not verified this session,'Researchers'.,US online.,Not verified this session,None found,None disclosed / not found,,Emerging vendor benchmarked by testing-focused review sites.,"BPC-157, TB-500, tirzepatide, retatrutide (per third-party)",Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"No FDA warning letter found. FDA position (verified): a 'research use only' label does not control intended use; website/social marketing implying human use makes the product an unapproved new drug (e.g., Swiss Chems WL 2024-12-10; Gram Peptides WL 2026-03-31; Wholesale Peptide WL 2026-06-17; Pinnacle Peptides and Prime Sports Nutrition WLs 2025-12-12; Darmerica API WL Dec 2025). FTC Health Products Compliance Guidance requires competent and reliable scientific evidence for health claims; affiliate/TikTok promotion is within FDA/FTC scope. Prices for BPC-157/TB-500/semaglutide/tirzepatide/reta",3,"Ranked on absence/presence of FDA action, published quality/testing claims, payment posture and marketing restraint; prices not retrievable. Segment is legally distinct: FDA treats human-use marketing as unapproved-drug distribution regardless of RUO labels.",Medium-High,https://peptidesexplorer.com/blog/polaris-peptides-reviews,2026-09-02,research/02_pharmacy_ruo_consumer.json
Vital Proteins (Nestle Health Science),https://www.vitalproteins.com/,Consumer supplement/cosmetic,DSHEA supplements / cosmetics; structure-function or appearance claims only,"Mass-market collagen peptide powders/capsules/beverages sold via Amazon, Costco, Target, DTC.",Not verified this session,Not verified this session,"Founded by Kurt Seidensticker (widely reported); owned by Nestle Health Science (majority stake June 2020, completed Feb 2022 -- Verified)","Mainstream beauty/wellness consumers, esp. women 25-55.",US national retail + DTC; international.,Not verified this session,"Jennifer Aniston, paid spokesperson/Chief Creative Officer since Nov 2020 (Verified).","Claims 'America's #1 collagen brand' per Circana MULO, SPINS, Stackline-Amazon, Nielsen-Whole Foods 52 wks ending 2025-12-28 (Company-reported).","Daily collagen for hair, skin, nails, joints.",Category-defining collagen peptide brand with celebrity halo and promotional price ladders ($16-$20 Amazon deal prices in 2025-26).,Collagen Peptides Powder (unflavored),Deal prices ~$16-$20 on Amazon (2025-26); list price not retrieved,no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"Frequent Amazon deal coverage (E! Online, Prime Day/Memorial Day 2026).","Dietary supplement; 'collagen peptides' = hydrolyzed collagen, not bioactive drug peptides. FTC substantiation rules apply.",2,"Ranked on verified scale/ownership, strength of peptide positioning, substantiation/trust signals and 2026 momentum. Supplements (DSHEA) and cosmetics only; not drugs.",Low,https://www.eonline.com/news/1430887/jennifer-anistons-favorite-collagen-powder-vital-proteins-deals,2026-09-02,research/02_pharmacy_ruo_consumer.json
The Ordinary (DECIEM / Estee Lauder Companies),https://theordinary.com/,Consumer supplement/cosmetic,DSHEA supplements / cosmetics; structure-function or appearance claims only,"Ingredient-led, low-price skincare; Multi-Peptide + Copper Peptides 1% serum (ex-'Buffet' + Copper).",Not verified this session,Not verified this session,Not verified this session,Skintellectual mass-prestige consumers.,"Global; US via theordinary.com, Ulta, Amazon.",Not verified this session,None found,None disclosed / not found,Clinical-style formulations at low prices.,Peptide accessibility leader in cosmetics (GHK-Cu at 1%).,Multi-Peptide + Copper Peptides 1% Serum (30 ml),"$30.90-$32.00 (US, 2026)",no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"Cosmetic; copper peptide (GHK-Cu) topical is a cosmetic ingredient, distinct from injectable GHK-Cu sold RUO/compounded.",4,"Ranked on verified scale/ownership, strength of peptide positioning, substantiation/trust signals and 2026 momentum. Supplements (DSHEA) and cosmetics only; not drugs.",Low,https://theordinary.com/en-us/multi-peptide-copper-peptides-1-serum-100625.html,2026-09-02,research/02_pharmacy_ruo_consumer.json
